,f_root,f_step,pic_lst,path,caption
347,f-W5SJSY8N,f-W5SJSY8N_step01_sent02,"['52.jpg', '50.jpg', '48.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W5SJSY8N/f-W5SJSY8N_step01_sent02_000,"[['a', 'sitting', 'sitting', 'on', 'a', 'stove', 'filled', 'with', '[UNK]', 'and', 'on', 'a', 'stove.', '<end>'], ['a', 'bunch', 'of', 'white', 'picture', 'with', '[UNK]', 'sitting', 'on', 'display', 'in', 'the', 'stove', 'that', 'are', 'in', 'a', 'frying', 'pan', 'on', 'display', 'in', 'this', 'box', 'on', 'the', '[UNK]', '<end>'], ['a', 'close', 'up', 'of', 'a', 'room', 'with', 'three', 'pots', 'appear', '[UNK]', 'inside', 'a', 'display.', '<end>']]"
348,f-X7N2HQHZ,f-X7N2HQHZ_step05_sent01,"['294.jpg', '292.jpg', '296.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-X7N2HQHZ/f-X7N2HQHZ_step05_sent01_007,"[['an', 'image', 'of', 'a', 'plate', 'of', 'different', 'sized', 'piece', 'of', 'different', 'toppings', 'that', 'has', 'a', 'pizza', 'sits', 'in', 'a', 'table', 'with', 'a', 'bowl', 'sitting', 'next', 'to', 'a', 'stove', 'with', 'a', 'mug', 'laying', 'on', 'a', 'table', '<end>'], ['a', 'metal', 'oven', 'is', 'sitting', 'on', 'a', 'set', '[UNK]', 'sitting', 'on', 'a', 'rail.', '<end>'], ['a', 'closeup', 'of', 'a', 'pizza', 'that', 'has', 'lots', 'of', 'rice', 'has', 'a', 'wooden', 'table', 'and', 'a', 'lot', 'of', 'different', 'kinds', 'of', 'an', '[UNK]', 'sits', 'on', 'a', 'table', 'in', 'a', 'picture', 'sit', 'on', 'the', 'with', 'a', '[UNK]', 'on', 'a', 'bench.', '<end>']]"
349,f-X7N2HQHZ,f-X7N2HQHZ_step02_sent02,"['50.jpg', '52.jpg', '48.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-X7N2HQHZ/f-X7N2HQHZ_step02_sent02_008,"[['a', 'asian', 'asian', 'lady', 'holding', 'up', 'food', 'in', 'blue.', '<end>'], ['an', 'old', 'fashioned', 'man', 'sitting', 'inside', 'of', 'a', 'food', 'cooking', 'in', 'the', 'middle', 'of', 'an', 'outside', '<end>'], ['a', 'man', 'holding', 'a', 'male', 'being', 'funny', 'face.', '<end>']]"
350,f-X7N2HQHZ,f-X7N2HQHZ_step02_sent02,"['48.jpg', '50.jpg', '52.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-X7N2HQHZ/f-X7N2HQHZ_step02_sent02_006,"[['there', 'are', 'many', 'three', 'other', 'noodles', 'sitting', 'inside', 'of', 'a', '[UNK]', '<end>'], ['an', 'image', 'of', 'a', 'number', 'of', 'three', 'baby', 'holding', 'a', 'frosted', 'cake', 'with', 'the', '[UNK]', 'in', 'front', 'of', 'a', 'blender', 'filled', 'with', 'food', 'in', 'top.', '<end>'], ['a', 'pan', 'of', 'people', 'preparing', 'to', 'be', 'eaten', 'in', 'the', 'background.', '<end>']]"
351,f-X7N2HQHZ,f-X7N2HQHZ_step02_sent01,"['22.jpg', '24.jpg', '20.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-X7N2HQHZ/f-X7N2HQHZ_step02_sent01_014,"[['an', 'image', 'of', 'a', 'dirty', 'older', 'subway', 'going', 'next', 'to', 'a', '[UNK]', 'the', 'middle', 'of', 'the', 'middle', '<end>'], ['an', 'old', 'empty', 'red', 'and', 'an', 'image', 'of', 'an', 'old', 'red', 'attempts', 'up', 'sitting', 'outside', 'with', 'red', 'lid', 'and', '[UNK]', '<end>'], ['an', 'unfinished', 'bathroom', 'with', 'an', 'older', 'fashioned', 'with', 'a', 'patterned', 'umbrella', 'at', 'the', 'clean', 'train', 'platform', 'with', 'wall', 'paper.', '<end>']]"
352,f-X7N2HQHZ,f-X7N2HQHZ_step02_sent01,"['22.jpg', '24.jpg', '20.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-X7N2HQHZ/f-X7N2HQHZ_step02_sent01_007,"[['looking', 'person', 'sitting', 'next', 'to', 'the', 'upper', 'part', 'of', 'an', 'old', '[UNK]', '<end>'], ['a', 'close', 'up', 'of', 'an', 'empty', 'woman', 'is', 'sitting', 'underneath', 'an', 'old', 'fashioned', 'into', 'wall', 'next', 'to', 'the', 'lid', '<end>'], ['a', 'small', 'gold', 'hydrant', 'sitting', 'next', 'to', 'a', '[UNK]', '<end>']]"
353,f-X7N2HQHZ,f-X7N2HQHZ_step02_sent01,"['116.jpg', '114.jpg', '112.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-X7N2HQHZ/f-X7N2HQHZ_step02_sent01_000,"[['three', 'deep', 'kitchen', 'with', 'washed', 'up', 'a', 'finger', 'into', 'a', 'machine', 'cooking', 'on', 'top', 'next', 'to', 'some', 'skis', 'in', 'the', 'water', '<end>'], ['a', 'hand', 'in', 'a', 'display', 'inside', 'an', 'oven.', '<end>'], ['a', 'woman', 'holding', 'up', 'in', 'the', 'middle', 'of', 'a', 'drying', 'machine', '<end>']]"
354,f-WQLM2W5Q,f-WQLM2W5Q_step04_sent01,"['508.jpg', '512.jpg', '510.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-WQLM2W5Q/f-WQLM2W5Q_step04_sent01_000,"[['bowls', 'with', 'shallow', 'cooking', 'on', 'it.', '<end>'], ['a', 'stove', 'and', 'vases', 'sitting', 'on', 'a', 'drying', 'stacked', 'on', 'an', 'empty', 'of', 'some', 'water.', '<end>'], ['a', 'nasty', 'looking', 'meal', 'that', 'are', 'cooking', 'on', 'the', 'stove', 'surrounded', 'by', 'side', 'of', 'a', 'stove', 'cooking', 'by', 'the', 'other', 'cooking', 'on', 'a', 'stove', 'with', 'empty', 'trees', 'in', 'the', 'water', 'near', 'a', 'stove', 'surrounded', 'by', 'empty', 'concrete', 'in', 'a', 'stove', 'making', 'some', 'stove', 'and', 'other', 'cooking', 'on', 'the', 'stove', 'surrounded']]"
355,f-WQLM2W5Q,f-WQLM2W5Q_step03_sent01,"['1672.jpg', '1670.jpg', '1668.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-WQLM2W5Q/f-WQLM2W5Q_step03_sent01_000,"[['an', 'oven', 'stands', 'close', '[UNK]', 'in', 'a', 'room', 'floor.', '<end>'], ['an', 'asian', 'kitchen', 'with', 'a', 'orange', 'things.', '<end>'], ['a', 'old', 'man', 'on', 'a', 'building', '<end>']]"
356,f-WQLM2W5Q,f-WQLM2W5Q_step02_sent02,"['358.jpg', '356.jpg', '360.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-WQLM2W5Q/f-WQLM2W5Q_step02_sent02_002,"[['a', 'stove', 'with', 'bowls', 'piled', 'with', 'bowls', 'on', 'top', 'shows', 'pieces', 'of', 'food', 'cooking', 'on', 'a', 'drying', 'cooking', 'on', 'a', 'drying', 'rack', 'in', 'a', 'stove', 'in', 'a', 'stove', 'in', 'a', 'pan', 'on', 'a', 'stove', 'cooking', 'on', 'a', 'drying', 'cooking', 'on', 'a', 'drying', 'cooking', 'on', 'a', 'drying', 'cooking', '[UNK]', 'and', '[UNK]'], ['an', 'old', 'nasty', 'stove', 'and', 'a', 'stove', 'a', 'close', 'to', 'some', 'oranges', 'sitting', 'next', 'to', 'some', 'stove', 'surrounded', 'by', '[UNK]', 'appears', '[UNK]', 'bowls', 'and', 'other', 'stove', 'in', 'a', 'stove', 'in', 'a', 'stove', 'in', 'a', 'pan', 'on', 'cooking', 'on', 'a', 'drying', 'cooking', 'in', 'some', 'oven.', '<end>'], ['an', 'assortment', 'of', 'an', 'ocean', 'with', 'lots', 'of', 'cooking', 'by', '[UNK]', 'showing', '[UNK]', '<end>']]"
357,f-WQLM2W5Q,f-WQLM2W5Q_step01_sent01,"['508.jpg', '506.jpg', '504.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-WQLM2W5Q/f-WQLM2W5Q_step01_sent01_003,"[['a', 'sheet', 'cake', 'with', '[UNK]', '[UNK]', '<end>'], ['someone', 'that', 'is', 'cooking', 'in', 'a', 'stove', 'and', 'taking', 'a', 'picture', 'being', '[UNK]', 'somewhere.', '<end>'], ['carrots', 'animal', 'that', 'has', 'thrown', 'food', 'in', 'the', 'oven.', '<end>']]"
358,f-WQLM2W5Q,f-WQLM2W5Q_step06_sent01,"['96.jpg', '100.jpg', '98.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-WQLM2W5Q/f-WQLM2W5Q_step06_sent01_000,"[['some', 'hot', 'piece', 'of', 'dishes.', 'are', 'cooking', 'in', 'them.', '<end>'], ['a', '[UNK]', 'stove', 'and', 'bowls.', '<end>'], ['a', 'pot', 'with', 'a', 'pink', 'paint', 'on', 'the', 'paint', 'on', 'the', 'tips', 'of', 'food', 'in', 'the', 'middle', 'of', 'a', 'photo.', '<end>']]"
359,f-WQLM2W5Q,f-WQLM2W5Q_step05_sent02,"['256.jpg', '254.jpg', '252.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-WQLM2W5Q/f-WQLM2W5Q_step05_sent02_000,"[['a', 'large', 'city', 'in', 'a', 'kitchen.', '<end>'], ['asian', 'room', 'with', 'a', 'spoon', 'cooking', 'in', 'some', 'stove', 'in', 'it.', '<end>'], ['the', 'close', 'up', 'end', 'view', 'of', 'a', 'banana,', 'and', 'meat.', '<end>']]"
360,f-WQLM2W5Q,f-WQLM2W5Q_step05_sent01,"['22.jpg', '24.jpg', '20.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-WQLM2W5Q/f-WQLM2W5Q_step05_sent01_001,"[['a', 'tin', 'baking', '[UNK]', 'in', 'the', 'creek.', '<end>'], ['a', 'pink', 'asian', 'pot', 'and', 'some', 'suitcases', 'and', 'people.', '<end>'], ['a', 'person', 'taking', 'a', 'message', '[UNK]', 'standing', 'by', 'the', 'oven', 'near', '[UNK]', 'in', 'very', 'small', 'oven.', '<end>']]"
361,f-W4RXP44Q,f-W4RXP44Q_step09_sent01,"['262.jpg', '260.jpg', '264.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W4RXP44Q/f-W4RXP44Q_step09_sent01_014,"[['a', 'man', 'takes', 'a', 'picture', 'of', 'crafting', 'person', 'taking', 'a', 'sheet', 'while', 'sitting', 'in', 'its', 'hand.', '<end>'], ['an', 'old', 'wood', 'cake', 'with', 'the', 'bananas', 'in', 'the', 'yellow', 'pair', 'of', 'vegetables', 'upon', 'a', 'wall', '<end>'], ['a', 'close', 'up', 'steel', 'knife', 'in', 'case', '<end>']]"
362,f-W4RXP44Q,f-W4RXP44Q_step08_sent02,"['142.jpg', '144.jpg', '140.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W4RXP44Q/f-W4RXP44Q_step08_sent02_002,"[['the', 'woman', 'on', 'the', 'counter', 'top.', '<end>'], ['a', 'woman', 'holding', 'a', 'green', 'frosted', 'with', 'a', 'frosting', 'bag.', '<end>'], ['a', 'person', 'holding', 'a', '[UNK]', '<end>']]"
363,f-W4RXP44Q,f-W4RXP44Q_step08_sent01,"['1300.jpg', '1302.jpg', '1304.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W4RXP44Q/f-W4RXP44Q_step08_sent01_009,"[['a', 'hand', 'of', 'pancakes', 'filled', 'with', 'fresh', 'berries', 'and', '[UNK]', '<end>'], ['a', 'plate', 'with', 'bowls', 'filled', 'with', 'assorted', 'veggies.', '<end>'], ['a', 'stove', 'with', 'vegetables', 'served', 'on', 'a', 'counter', 'with', '[UNK]', 'on', 'it.', '<end>']]"
364,f-W4RXP44Q,f-W4RXP44Q_step08_sent01,"['132.jpg', '128.jpg', '130.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W4RXP44Q/f-W4RXP44Q_step08_sent01_000,"[['a', 'woman', 'standing', 'in', 'the', '[UNK]', '<end>'], ['there', 'couple', 'of', 'two', 'elephants', 'in', 'a', 'dark', 'white', 'and', 'black', '[UNK]', '<end>'], ['small', 'white', 'rusty', 'things', 'a', 'body', 'eaten', 'with', 'a', 'piece', 'to', 'face.', '<end>']]"
365,f-W4RXP44Q,f-W4RXP44Q_step07_sent03,"['1668.jpg', '1670.jpg', '1672.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W4RXP44Q/f-W4RXP44Q_step07_sent03_000,"[['small', 'white', 'picture', 'of', 'a', 'spoon', 'extended', 'out', 'of', 'a', 'tiled', 'floor', '<end>'], ['two', 'people', 'standing', 'in', 'front', 'of', 'it.', '<end>'], ['the', 'man', 'is', 'going', 'through', 'an', 'empty', 'kitchen', 'table', '<end>']]"
366,f-W4RXP44Q,f-W4RXP44Q_step07_sent01,"['562.jpg', '560.jpg', '564.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W4RXP44Q/f-W4RXP44Q_step07_sent01_000,"[['a', 'fresh', 'vegetables', 'being', 'displayed', 'in', 'a', 'pan', 'filled', 'with', 'vegetables', 'in', 'a', 'oven.', '<end>'], ['man', 'holding', 'a', 'close', 'up', 'ofa', 'filled', 'with', 'baskets', 'of', 'vegetables', 'in', 'each', 'other.', '<end>'], ['a', 'group', 'of', 'asian', 'room', 'filled', 'with', '[UNK]', '<end>']]"
367,f-W4RXP44Q,f-W4RXP44Q_step05_sent01,"['520.jpg', '516.jpg', '518.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W4RXP44Q/f-W4RXP44Q_step05_sent01_006,"[['a', 'cup', 'holding', 'up', 'a', 'mug', 'with', 'two', 'pots', '<end>'], ['a', 'picture', 'of', 'people', 'stand', 'outside', 'of', 'it.', '<end>'], ['a', 'few', 'plates', 'filled', 'with', 'various', 'other', 'food', 'items.', '<end>']]"
368,f-W4RXP44Q,f-W4RXP44Q_step05_sent01,"['152.jpg', '154.jpg', '156.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W4RXP44Q/f-W4RXP44Q_step05_sent01_004,"[['there', 'are', 'no', 'bananas', 'stands', 'next', 'to', 'each', 'other', '<end>'], ['a', 'pitcher', 'is', 'sitting', 'in', 'a', 'sink.', '<end>'], ['a', 'younger', 'half', 'counter', 'with', 'a', 'toothbrush', 'in', 'front', 'of', 'a', 'sink.', '<end>']]"
369,f-W4RXP44Q,f-W4RXP44Q_step04_sent01,"['108.jpg', '104.jpg', '106.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W4RXP44Q/f-W4RXP44Q_step04_sent01_000,"[['a', 'variety', 'of', 'a', 'lot', 'of', 'bananas', 'getting', 'ready', 'to', 'be', '[UNK]', '<end>'], ['older', 'platter', 'sitting', 'on', 'the', 'stove', '<end>'], ['there', 'are', 'a', 'glass', 'of', 'fresh', 'fruit', 'in', 'glass', 'of', 'water.', '<end>']]"
370,f-W4RXP44Q,f-W4RXP44Q_step01_sent01,"['312.jpg', '310.jpg', '308.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W4RXP44Q/f-W4RXP44Q_step01_sent01_000,"[['woman', 'sits', 'next', 'to', 'each', 'other.', '<end>'], ['a', 'few', 'trays', 'of', 'oranges', 'as', 'well', 'as', 'multiple', 'kinds', 'of', 'pastries.', '<end>'], ['the', '[UNK]', 'oven', '[UNK]', '[UNK]', 'down', 'the', 'towers.', '<end>']]"
371,f-W4F4XZ5V,f-W4F4XZ5V_step03_sent01,"['94.jpg', '96.jpg', '92.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W4F4XZ5V/f-W4F4XZ5V_step03_sent01_000,"[['an', 'stove', 'with', 'lots', 'of', 'a', 'stove', 'in', 'a', 'stove', '<end>'], ['an', 'oven', 'all', 'bowls', 'stacked', 'together', 'on', 'the', 'stove', '<end>'], ['a', 'center', 'island', 'in', 'the', 'distance.', '<end>']]"
372,f-W28HX4QJ,f-W28HX4QJ_step07_sent01,"['104.jpg', '102.jpg', '100.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W28HX4QJ/f-W28HX4QJ_step07_sent01_033,"[['a', 'young', 'cooks', 'off', 'some', 'food.', '<end>'], ['the', 'man', 'takes', 'a', 'meal', 'in', 'the', 'kitchen', 'posing', 'for', 'some', 'kitchen', 'preparing', 'fresh', 'food.', '<end>'], ['a', 'small', 'gray', 'is', 'holding', 'a', 'large', 'spoon', 'is', 'also', 'on', 'a', 'polka', 'dot', 'and', '[UNK]', 'on', 'a', 'counter.', '<end>']]"
373,f-W28HX4QJ,f-W28HX4QJ_step07_sent01,"['164.jpg', '162.jpg', '160.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W28HX4QJ/f-W28HX4QJ_step07_sent01_026,"[['a', 'close', 'up', 'dish', 'filled', 'with', 'orange', '[UNK]', 'dessert', 'on', 'a', 'round', 'table.', '<end>'], ['mug', 'being', 'made', 'for', '[UNK]', 'candle', '[UNK]', 'candle', '<end>'], ['sliced', 'cake', 'sits', 'on', 'a', 'table', 'with', 'a', 'plate', 'of', 'cake', 'on', 'a', 'table', 'with', 'banana', 'and', 'red', '[UNK]', '<end>']]"
374,f-W28HX4QJ,f-W28HX4QJ_step03_sent01,"['174.jpg', '176.jpg', '172.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W28HX4QJ/f-W28HX4QJ_step03_sent01_000,"[['a', 'man', 'is', 'holding', 'a', 'child.', '<end>'], ['a', 'blonde', 'haired', 'woman', 'about', 'a', 'banana,', 'and', 'a', 'cup', 'of', 'coffee.', '<end>'], ['there', 'is', 'a', 'white', 'plate', 'of', 'a', 'young', 'woman', 'holding', 'a', 'person', '<end>']]"
375,f-W28HX4QJ,f-W28HX4QJ_step02_sent02,"['98.jpg', '100.jpg', '96.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W28HX4QJ/f-W28HX4QJ_step02_sent02_011,"[['a', 'commercial', 'statue', 'of', 'yellow', 'plate', 'of', 'bananas', 'on', 'the', 'counter.', '<end>'], ['a', 'plate', 'of', 'fruit', 'has', 'a', 'plate', 'on', 'a', 'counter.', '<end>'], ['someone', 'preparing', 'image', 'of', 'food', '[UNK]', 'sits', 'in', 'a', 'counter.', '<end>']]"
376,f-W28HX4QJ,f-W28HX4QJ_step02_sent02,"['388.jpg', '392.jpg', '390.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W28HX4QJ/f-W28HX4QJ_step02_sent02_003,"[['i', 'am', 'unable', 'to', 'be', 'eaten', 'in', 'its', 'side', 'of', 'it.', '<end>'], ['food', 'that', 'is', 'shown', 'on', 'the', '[UNK]', 'drinking', 'it', 'sitting', 'inside', 'a', 'wall.', '<end>'], ['a', 'blender', 'filled', 'with', 'various', 'pots', 'on', 'display', 'on', 'it.', '<end>']]"
377,f-W28HX4QJ,f-W28HX4QJ_step02_sent01,"['390.jpg', '392.jpg', '388.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W28HX4QJ/f-W28HX4QJ_step02_sent01_015,"[['a', 'blender', 'filled', 'with', 'the', 'inside', 'a', 'drying', 'machine', '<end>'], ['a', 'blender', 'on', 'a', 'flower', 'pot', 'on', 'a', 'display', 'in', 'the', 'stove', 'filled', 'with', 'various', 'flowers.', '<end>'], ['a', 'blender', 'full', 'of', 'bananas.', '<end>']]"
378,f-W28HX4QJ,f-W28HX4QJ_step01_sent01,"['20.jpg', '16.jpg', '18.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-W28HX4QJ/f-W28HX4QJ_step01_sent01_004,"[['a', 'man', 'shaped', 'tie', 'using', 'a', 'cake', 'with', 'a', 'display', 'with', 'a', '[UNK]', 'cutting', 'a', 'cake', 'with', 'him.', '<end>'], ['someone', 'that', 'is', 'shown', 'at', 'a', '[UNK]', 'of', 'a', 'table', 'next', 'to', 'a', 'wooden', 'table', 'next', 'to', 'a', 'wood', 'table.', '<end>'], ['a', 'man', 'wearing', 'a', 'neck', 'wearing', 'skateboard', 'wearing', '[UNK]', 'cap', 'that', 'is', 'wearing', 'a', 'photo', 'with', 'a', 'shirt', 'and', 'white', 'shirt', 'holds', 'up', 'into', 'his', 'hand', 'in', 'his', 'arms.', '<end>']]"
379,f-VRDD7DBD,f-VRDD7DBD_step05_sent01,"['54.jpg', '52.jpg', '56.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-VRDD7DBD/f-VRDD7DBD_step05_sent01_004,"[['a', 'white', 'photo', 'of', 'foreign', 'soup,', 'and', 'fruit', 'on', 'the', 'table', 'with', 'drinks', 'on', 'it.', '<end>'], ['broccoli,', 'apple', '[UNK]', 'are', 'in', 'a', 'picture.', '<end>'], ['a', 'large', 'sheet', 'like', 'fruit', 'on', 'a', 'bowl', 'filled', 'with', 'sugar', 'and', 'a', '[UNK]', 'and', 'drinks', '<end>']]"
380,f-VRDD7DBD,f-VRDD7DBD_step04_sent02,"['192.jpg', '196.jpg', '194.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-VRDD7DBD/f-VRDD7DBD_step04_sent02_002,"[['a', 'dish', 'topping', 'and', '[UNK]', '<end>'], ['a', 'wooden', 'table', 'filled', 'with', 'a', 'silver', 'and', 'laying', 'in', 'a', 'white', 'house.', '<end>'], ['a', 'bunch', 'of', 'a', 'bunch', 'of', 'three', 'woman', 'holding', 'several', 'various', 'beers', 'in', 'a', 'table.', '<end>']]"
381,f-VRDD7DBD,f-VRDD7DBD_step04_sent02,"['290.jpg', '288.jpg', '292.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-VRDD7DBD/f-VRDD7DBD_step04_sent02_000,"[['an', 'old', 'looking', 'old', 'fashioned', 'into', 'it.', '<end>'], ['a', 'young', 'children', 'holding', 'pictures', 'at', 'someone', 'displaying', 'doughnuts.', '<end>'], ['there', 'are', 'brown', 'cat', 'sitting', 'next', 'to', 'a', 'bowl', 'holding', 'a', '[UNK]', 'next', 'to', 'a', 'washing', 'a', 'cup', 'next', 'to', 'two', 'green', 'soap', 'on', 'top', 'of', 'it.', '<end>']]"
382,f-VRDD7DBD,f-VRDD7DBD_step04_sent01,"['100.jpg', '102.jpg', '104.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-VRDD7DBD/f-VRDD7DBD_step04_sent01_000,"[['two', 'stools', 'and', 'utensils', 'in', 'the', 'kitchen', 'containing', '[UNK]', 'utensils', 'propped', 'up', 'broccoli.', '<end>'], ['a', 'tube', 'of', 'only', 'his', 'hand', 'in', 'a', 'drying', 'out', 'of', 'a', 'drying', 'out', '<end>'], ['a', 'plastic', 'frosted', 'toothbrush.', '<end>']]"
383,f-VRDD7DBD,f-VRDD7DBD_step03_sent01,"['350.jpg', '348.jpg', '352.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-VRDD7DBD/f-VRDD7DBD_step03_sent01_000,"[['an', 'old', 'picture', 'of', 'a', 'half', 'here', 'is', 'sitting', 'on', 'it', '<end>'], ['a', 'blender', 'and', 'pans', 'placed', 'by', 'a', 'pot', '<end>'], ['an', 'old', 'black', 'cooking', 'that', 'is', 'holding', 'around', 'a', 'bowl', 'of', 'wood.', '<end>']]"
384,f-VRDD7DBD,f-VRDD7DBD_step02_sent02,"['156.jpg', '154.jpg', '152.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-VRDD7DBD/f-VRDD7DBD_step02_sent02_000,"[['the', 'glass', 'filled', 'with', 'three', 'meal', 'hanging', 'on', 'top', 'of', 'a', 'pan', 'on', 'a', '[UNK]', 'on', 'the', '[UNK]', 'on', 'the', 'stove', 'sitting', 'on', 'a', 'cutting', 'board', 'with', 'some', 'sort', 'of', 'the', 'picture', 'of', 'work', 'on', 'a', '[UNK]', 'tray.', '<end>'], ['two', 'other', 'people', 'looking', 'at', 'the', 'sink', 'wearing', 'high', 'clean', 'into', 'balls.', '<end>'], ['a', 'bowl', 'filled', 'with', 'lots', 'of', 'many', 'different', 'sizes', 'are', 'shown', 'filled', 'with', 'green', 'broccoli,', '[UNK]', 'some', 'stove.', '<end>']]"
385,f-VRDD7DBD,f-VRDD7DBD_step02_sent01,"['156.jpg', '152.jpg', '154.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-VRDD7DBD/f-VRDD7DBD_step02_sent01_000,"[['a', '[UNK]', 'filled', 'with', 'three', 'long', 'rectangular', 'vases', 'being', 'sitting', 'off', 'a', 'small', 'pot.', '<end>'], ['a', 'meal', 'inside', 'of', 'an', 'oven.', '<end>'], ['a', 'woman', 'holding', 'an', 'old', '[UNK]', 'and', 'some', 'food', 'that', 'are', 'cooking', 'in', 'the', 'stove', 'overhead.', '<end>']]"
386,f-VRDD7DBD,f-VRDD7DBD_step01_sent01,"['336.jpg', '334.jpg', '332.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-VRDD7DBD/f-VRDD7DBD_step01_sent01_000,"[['a', 'couple', 'of', 'a', 'small', 'charter', 'cooking', 'including', 'meat.', '<end>'], ['a', 'black', 'bowl', 'of', 'cooking', 'including', 'a', '[UNK]', '<end>'], ['a', 'group', 'of', 'a', 'bunch', 'of', 'some', 'stacked', 'with', 'brass', 'pots', 'on', 'a', 'stove', 'stove', 'filled', 'center', 'stove', 'stove', '<end>']]"
387,f-YGQH8YZV,f-YGQH8YZV_step02_sent02,"['380.jpg', '376.jpg', '378.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-YGQH8YZV/f-YGQH8YZV_step02_sent02_002,"[['an', 'eaten', 'plate', 'of', 'a', 'bunch', 'of', 'some', 'boats', 'with', 'hotdogs,', 'fries', 'a', '[UNK]', '<end>'], ['a', 'male', 'frosted', 'hot', '[UNK]', 'stands', 'near', 'a', 'slice', 'of', 'food', 'on', 'a', 'table.', '<end>'], ['a', 'view', 'of', 'frosted', 'layer', 'chocolate', 'frosted', 'frosted', 'frosted', 'slice', 'of', 'food', 'on', 'the', 'table', 'with', 'a', 'table', 'near', 'a', 'table', 'covered', 'in', 'chocolate', 'cake.', '<end>']]"
388,f-YGQH8YZV,f-YGQH8YZV_step02_sent02,"['274.jpg', '276.jpg', '272.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-YGQH8YZV/f-YGQH8YZV_step02_sent02_000,"[['an', 'image', 'of', 'a', 'person', 'wearing', 'a', 'piece', 'of', 'dessert', 'on', 'cooking', 'in', 'a', 'frying', 'pan', 'on', 'the', 'frying', 'pan', 'is', 'being', 'going', 'beneath', 'some', 'rocks', 'one', 'microwave.', '<end>'], ['a', 'fancy', 'black', 'and', 'white', 'plate', 'is', 'a', 'half', 'military', 'cake', 'sitting', 'next', 'to', 'a', 'blender', 'on', 'a', 'napkin', 'with', 'bowls', 'and', '[UNK]', '<end>'], ['a', 'lady', 'holding', 'a', 'wood', 'cabinets', 'and', 'utensils', 'to', 'cut', 'in', 'the', 'kitchen', 'smiling', 'to', 'cut', 'up', 'seaweed', 'on', 'the', 'kitchen.', '<end>']]"
389,f-YGQH8YZV,f-YGQH8YZV_step02_sent01,"['50.jpg', '48.jpg', '52.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-YGQH8YZV/f-YGQH8YZV_step02_sent01_001,"[['a', 'photograph', 'in', 'ingredients', 'sitting', 'on', 'a', 'table.', '<end>'], ['a', 'close', 'up', 'bunny', 'cutting', 'a', 'cute', 'small', '[UNK]', '<end>'], ['a', 'half', 'eaten', 'cake', 'sits', 'on', 'an', 'island.', '<end>']]"
